Category,States/ UTs/Cities,Year,Incest (Rape) - No. of Cases Reported,Incest (Rape) No. of Victims - Upto 10 Years,Incest (Rape) No. of Victims - (10-14) Years,Incest (Rape) No. of Victims - (14-18) Years,Incest (Rape) No. of Victims - (18-30)Years,Incest (Rape) No. of Victims - (30-50) Years,Incest (Rape) No. of Victims - Above 50 Years,Incest (Rape) No. of Victims - Total Victims,Other (Rape) - No. of Cases Reported,Other (Rape) No. of Victims - Upto 10 Years,Other (Rape) No. of Victims - (10-14) Years,Other (Rape) No. of Victims - (14-18) Years,Other (Rape) No. of Victims - (18-30)Years,Other (Rape) No. of Victims - (30-50) Years,Other (Rape) No. of Victims - Above 50 Years,Other (Rape) No. of Victims - Total Victims,Rape Cases (Total) - No. of Cases Reported,Rape Cases (Total) No. of Victims - Upto 10 Years,Rape Cases (Total) No. of Victims - (10-14) Years,Rape Cases (Total) No. of Victims - (14-18) Years,Rape Cases (Total) No. of Victims - (18-30)Years,Rape Cases (Total) No. of Victims - (30-50) Years,Rape Cases (Total) No. of Victims - Above 50 Years,Rape Cases (Total) No. of Victims - Total Victims
Union Territory,Lakshadweep,2003,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2
Union Territory,Pondicherry,2003,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,2,1,0,0,1,0,0,2
City,Agra,2003,0,0,0,0,0,0,0,0,11,0,0,3,6,2,0,11,11,0,0,3,6,2,0,11
City,Ahmedabad,2003,2,0,0,0,2,0,0,2,16,2,1,8,4,1,0,16,18,2,1,8,6,1,0,18
City,Allahabad,2003,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2
City,Amritsar,2003,1,0,0,1,0,0,0,1,10,0,1,3,5,1,0,10,11,0,1,4,5,1,0,11
City,Asansol,2003,1,0,0,0,1,0,0,1,7,0,0,0,6,1,0,7,8,0,0,0,7,1,0,8
City,Bangalore,2003,0,0,0,0,0,0,0,0,34,2,3,7,10,12,0,34,34,2,3,7,10,12,0,34
City,Bhopal,2003,8,2,4,2,0,0,0,8,50,4,11,14,13,8,0,50,58,6,15,16,13,8,0,58
City,Chennai,2003,0,0,0,0,0,0,0,0,38,1,3,19,12,3,0,38,38,1,3,19,12,3,0,38
City,Coimbatore,2003,0,0,0,0,0,0,0,0,4,0,0,1,3,1,0,5,4,0,0,1,3,1,0,5
City,Delhi (CITY),2003,18,1,5,8,4,0,0,18,388,15,38,55,269,11,0,388,406,16,43,63,273,11,0,406
City,Dhanbad,2003,3,1,1,0,0,1,0,3,18,1,2,5,6,4,0,18,21,2,3,5,6,5,0,21
City,Faridabad,2003,0,0,0,0,0,0,0,0,15,1,2,3,7,2,0,15,15,1,2,3,7,2,0,15
City,Hyderabad,2003,9,0,0,0,7,2,0,9,48,0,5,13,21,9,0,48,57,0,5,13,28,11,0,57
City,Indore,2003,0,0,0,0,0,0,0,0,54,0,1,7,42,4,0,54,54,0,1,7,42,4,0,54
